epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.3478,3.05668,6.20486,1.98416,0.00194,0.56,0.00214,0.00058,2.88647,6.64279,1.49552,0.0002,0.0002,0.0002
2,43.9478,2.52897,5.10691,1.53107,0.00264,0.76,0.00817,0.0032,1.6963,4.32017,1.20994,0.00040614,0.00040614,0.00040614
3,64.6035,2.09284,3.52528,1.38724,0.0025,0.72,0.00702,0.00287,1.87921,4.36219,1.22133,0.00059776,0.00059776,0.00059776
4,84.9557,1.90782,3.15334,1.28767,0.00194,0.56,0.00372,0.00093,1.6751,4.30803,1.27958,0.00077486,0.00077486,0.00077486
5,105.841,1.97821,2.8091,1.31361,0.00208,0.6,0.00332,0.00222,1.55909,4.03076,1.16805,0.00093744,0.00093744,0.00093744
6,127.205,1.7483,2.74613,1.25604,0.0025,0.72,0.00633,0.00329,1.68123,3.90636,1.21279,0.0010855,0.0010855,0.0010855
7,148.829,1.78288,2.48749,1.29958,0.00278,0.8,0.20055,0.14956,1.50896,3.53206,1.21371,0.00121904,0.00121904,0.00121904
8,169.07,1.80612,2.67073,1.29992,0.00278,0.8,0.02761,0.01908,1.48695,3.47695,1.20291,0.00133806,0.00133806,0.00133806
9,189.459,1.73116,2.45148,1.2177,1,0.37829,0.47965,0.33529,1.40183,3.25612,1.17655,0.00144256,0.00144256,0.00144256
10,209.673,1.73548,2.57443,1.24751,1,0.27614,0.5373,0.3585,1.47097,3.02296,1.1966,0.001406,0.001406,0.001406
11,229.945,1.69453,2.21215,1.19873,1,0.43122,0.56173,0.39301,1.45736,2.85736,1.18526,0.00134,0.00134,0.00134
12,250.768,1.75157,2.30495,1.30277,0.8751,0.56057,0.63792,0.43357,1.50916,2.39144,1.21926,0.001274,0.001274,0.001274
13,271.766,1.7404,2.06372,1.22441,0.92446,0.48,0.67072,0.37397,1.56851,2.45733,1.27177,0.001208,0.001208,0.001208
14,292.423,1.87254,2.59602,1.26638,0.92171,0.64,0.73683,0.41285,1.57204,2.21003,1.30962,0.001142,0.001142,0.001142
15,313.468,1.49321,1.73928,1.14999,0.71746,0.60977,0.6851,0.40528,1.40471,2.01309,1.17281,0.001076,0.001076,0.001076
16,336.517,1.50488,1.8596,1.12605,0.91801,0.6,0.68809,0.40578,1.50282,2.16554,1.19878,0.00101,0.00101,0.00101
17,360.762,1.49819,1.84591,1.1769,0.88059,0.59039,0.70605,0.39811,1.56559,2.07198,1.24912,0.000944,0.000944,0.000944
18,382.577,1.62948,1.82517,1.19576,0.88331,0.6,0.74132,0.4071,1.54831,2.119,1.23286,0.000878,0.000878,0.000878
19,404.327,1.58337,1.74289,1.15388,0.89108,0.65502,0.77718,0.45092,1.46282,1.86284,1.19406,0.000812,0.000812,0.000812
20,425.336,1.56451,1.70328,1.16019,0.96622,0.68,0.79329,0.4907,1.37972,1.45719,1.18476,0.000746,0.000746,0.000746
21,445.627,1.45109,1.94596,1.18241,0.93136,0.64,0.7637,0.46156,1.42549,1.41973,1.22426,0.00068,0.00068,0.00068
22,465.838,1.64624,2.03969,1.3387,0.92503,0.64,0.76254,0.41947,1.51282,1.47106,1.30953,0.000614,0.000614,0.000614
23,487.253,1.49884,2.06877,1.21535,0.94771,0.72519,0.81484,0.48872,1.40654,1.47765,1.22574,0.000548,0.000548,0.000548
24,508.813,1.32599,1.96563,1.13897,0.95785,0.72,0.8277,0.52089,1.38115,1.3782,1.2066,0.000482,0.000482,0.000482
25,531.081,1.41985,1.78949,1.1992,0.85819,0.76,0.79635,0.51237,1.36222,1.29856,1.18017,0.000416,0.000416,0.000416
26,552.01,1.28678,1.89049,1.12983,0.86,0.72,0.78954,0.50535,1.36022,1.32301,1.18658,0.00035,0.00035,0.00035
27,572.669,1.3563,1.85489,1.15562,0.85995,0.72,0.79214,0.51338,1.34433,1.35607,1.18183,0.000284,0.000284,0.000284
28,593.587,1.34205,1.7738,1.13732,0.84486,0.8,0.80784,0.50432,1.30983,1.3211,1.17328,0.000218,0.000218,0.000218
29,614.962,1.26897,1.77159,1.14713,0.83394,0.80367,0.80924,0.5109,1.29417,1.29889,1.16387,0.000152,0.000152,0.000152
30,638.335,1.29897,1.62768,1.11699,0.87352,0.82913,0.81131,0.51912,1.28262,1.2904,1.15609,8.6e-05,8.6e-05,8.6e-05
